company_name,categories
Tracecat,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software"
OpsBerry AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software"
Bayesline,"Financial Services, Lending and Investments"
Structured Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Mem0,Information Technology
Strada,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software"
TaxGPT,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Apollo Group,Commerce and Shopping
Sweetspot,Software
Pythagora,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Greenboard,"Financial Services, Professional Services, Software"
Positional,"Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software"
Sourcepulse,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Legora,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
FINNY,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
Onyx,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software"
Reducto,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Solidroad,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Education, Professional Services, Science and Engineering, Software"
CodeAnt AI,Software
Campfire,"Financial Services, Professional Services, Software"
Bland AI,"Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software"
Retell AI,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software"
Fazeshift,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
Vapi,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Resend,"Information Technology, Internet Services, Messaging and Telecommunications, Software"
Model ML,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software"
Delve,"Other, Software"
Apriora,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Professional Services, Science and Engineering, Software"
Assembly,"Other, Software"
Concourse,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Diligent,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software"
Persana AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Inventive AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Flower Labs,"Artificial Intelligence (AI), Data and Analytics, Software"
Clearest Health,Financial Services
kapa.ai,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Maia,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software"
Artie,"Data and Analytics, Information Technology, Other, Software"
Apten,"Artificial Intelligence (AI), Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Mobile"
Vellum,"Information Technology, Software"
Vooma,"Financial Services, Other, Software, Transportation"
FurtherAI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
dawn,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Shiboleth,"Financial Services, Other"
Hona AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Berry,"Other, Software"
Trieve,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Langdock,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Defog,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Capi Money,"Financial Services, Payments, Software"
Keep,"Information Technology, Other, Software"
Duckie,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Momentic,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software"
Corgea,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software"
Warp,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software"
Lumona,"Information Technology, Other, Software"
Yuma AI,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Scritch,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Health Care, Other, Science and Engineering, Software"
DianaHR,"Administrative Services, Professional Services"
Pier,"Financial Services, Software"
HealthKey,"Health Care, Information Technology, Other, Software"
CTGT,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Lume,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
OffDeal,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Revision Dojo,"Education, Software"
InspectMind,"Artificial Intelligence (AI), Data and Analytics, Other, Real Estate, Science and Engineering, Software"
ProSights,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Science and Engineering, Software"
Fluently,"Information Technology, Internet Services, Software"
Markprompt,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Helicone,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
MathGPTPro,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Martin,"Apps, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software"
Mito Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
FlowiseAI,"Internet Services, Professional Services, Software"
Tandem Space,"Information Technology, Internet Services"
Salient,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Storia AI,"Apps, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Smobi,"Commerce and Shopping, Other, Software"
Forge,Software
Letter AI,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software"
Andy AI,Health Care
Marr Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Extend,Software
Argil,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Automat AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Circleback,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Terminal,"Financial Services, Software, Transportation"
Conduit_1,"Commerce and Shopping, Real Estate, Software, Travel and Tourism"
OpenPipe,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Cercli,"Professional Services, Software"
Odigos,Software
Wild Moose,"Information Technology, Software"
Argon AI,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Other, Science and Engineering, Software"
Revi,"Artificial Intelligence (AI), Other, Software"
Adagy Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation"
Pando Bioscience,"Biotechnology, Health Care, Science and Engineering"
Powder,"Financial Services, Sales and Marketing"
Vocode,"Data and Analytics, Information Technology, Software"
PointOne,"Payments, Privacy and Security, Professional Services, Software"
Metal_2,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Fortuna Health,"Health Care, Information Technology, Navigation and Mapping"
Pharos,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Flint,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Twenty (YC S23),"Information Technology, Sales and Marketing, Software"
Omnistrate,"Information Technology, Software"
Attunement,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
PartnerHQ,"Community and Lifestyle, Other, Professional Services, Sales and Marketing"
Roe AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Spaceium,"Information Technology, Science and Engineering, Transportation"
Happenstance,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Guac,"Food and Beverage, Information Technology, Media and Entertainment, Software, Sustainability"
Yarn,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Double_1,Financial Services
Accend,"Information Technology, Professional Services, Software"
Central,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software"
Twenty,"Information Technology, Software"
Presti,"Artificial Intelligence (AI), Community and Lifestyle, Consumer Goods, Data and Analytics, Science and Engineering, Software"
Selera Medical,"Health Care, Manufacturing"
DryMerge,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Skyvern,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software"
Clueso,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
HeartByte,"Internet Services, Media and Entertainment, Other"
CandorIQ,"Administrative Services, Financial Services, Information Technology, Software"
Lantern,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
YonedaLabs,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Sola,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software"
Cartage,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation"
Synch,"Financial Services, Lending and Investments, Professional Services"
Univerbal,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software"
Ecliptor,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Red Barn Robotics,"Agriculture and Farming, Hardware, Science and Engineering, Software"
Fintool.com,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Science and Engineering, Software"
Granza Bio,"Biotechnology, Health Care, Science and Engineering"
Drillbit,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software"
AgentHub,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Resonance,"Sales and Marketing, Software"
Airgoods,"Commerce and Shopping, Food and Beverage"
Brewit,"Apps, Data and Analytics, Information Technology, Software"
Eris Biotech,"Biotechnology, Health Care, Science and Engineering"
Osium AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Roame Holdings,"Community and Lifestyle, Software, Travel and Tourism"
SuperKalam,Software
Planbase,"Health Care, Software"
Cleva,"Financial Services, Lending and Investments, Payments"
Miden,"Financial Services, Payments"
Contour,"Data and Analytics, Design, Other, Software"
Index,Software
Oway,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software, Transportation"
Voicepanel,"Data and Analytics, Design, Information Technology, Internet Services, Other, Software"
VetRec,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Tailfin,"Data and Analytics, Sales and Marketing, Software"
Elodin,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software"
Risotto,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Phospho,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Patchwork,"Hardware, Information Technology, Internet Services"
Basalt Tech,"Manufacturing, Science and Engineering, Transportation"
Magic Hour,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Narrative,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Science and Engineering, Software"
Revamp AI,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software"
Deasie,"Artificial Intelligence (AI), Data and Analytics, Privacy and Security, Science and Engineering, Software"
Artos,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Other, Science and Engineering, Software"
Cargo,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Cedana,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Struct,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Undermind,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
Parallel 1245,"Health Care, Software"
Xeol,"Information Technology, Privacy and Security, Software"
CambioML,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
HumanLayer,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Pointhound,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Payments, Science and Engineering, Software"
Cardinal,Software
Leaping AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Decoda Health,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software"
Precip,"Agriculture and Farming, Data and Analytics, Design, Information Technology, Other, Software"
Pierre,"Information Technology, Software"
Quill AI,"Financial Services, Software"
AltiusHub,"Biotechnology, Health Care, Science and Engineering, Software"
Dataleap,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software"
Centralize,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software"
Buster,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software"
Alguna,"Other, Payments, Software"
Constructable,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software"
DraftAid,"Design, Software"
RadMate AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Second,"Apps, Software"
Twine,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Sales and Marketing, Science and Engineering, Software"
Aqua Voice,"Information Technology, Internet Services"
Titan AI,"Apps, Artificial Intelligence (AI), Gaming, Mobile, Software"
Remy Security,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software"
SciPhi,Information Technology
Shepherd_1,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
emojis.com,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software"
Leafpress,"Data and Analytics, Hardware, Information Technology, Software"
Surface Labs,"Information Technology, Sales and Marketing, Software"
Spark,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
CoCrafter,Real Estate
Diffusion Studio,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Infinity,"Financial Services, Payments"
Baseline AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Superagent,Software
Odo,"Artificial Intelligence (AI), Other, Software"
Serra Technologies,"Data and Analytics, Design, Hardware, Information Technology, Internet Services, Software"
Meru_1,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Poka Labs,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software"
Baselit,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Azalea Robotics Corporation,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation"
mdhub,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Health Harbor,"Health Care, Information Technology, Software"
Glide,"Other, Software"
Relari,Software
Bilanc,Software
Carma,Transportation
Vaero,"Other, Professional Services, Software"
Simbie Health,"Education, Health Care"
InQuery,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Hatchet,"Information Technology, Internet Services"
Watto AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Exploding Gradients,"Science and Engineering, Software"
xPay,"Financial Services, Information Technology"
GovernGPT,Financial Services
Mica AI,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software"
Aglide,"Information Technology, Other, Privacy and Security, Software"
Palomma,"Apps, Financial Services, Mobile, Payments, Software"
Veles,"Other, Software"
SiLogy,Software
Parea AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Million,"Internet Services, Software"
Focal_2,"Media and Entertainment, Software, Video"
Linc AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Flair Health,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Maven Bio,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Chatter,"Information Technology, Internet Services, Other"
Ionworks,"Energy, Software"
Curo,Transportation
ion design,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Menza,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
CloudCruise,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Kite,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Video"
Elayne,"Administrative Services, Health Care, Professional Services"
Coldreach,"Information Technology, Internet Services, Messaging and Telecommunications"
Atopile,"Consumer Electronics, Hardware, Information Technology, Manufacturing"
Glade,"Gaming, Software"
Fume,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Sonauto,Software
Abel,"Information Technology, Internet Services, Other, Professional Services, Software"
CodeStory,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Inri,Financial Services
Inari,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Kiosk,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Science and Engineering, Software"
Carousel Technologies,"Financial Services, Other, Software"
Alai,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Praxos,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Sero AI,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
Autotab,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Fastgen,"Information Technology, Software"
Glaze,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Science and Engineering, Software"
BetterBasket,"Commerce and Shopping, Food and Beverage, Other"
Soundry AI,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Media and Entertainment, Science and Engineering, Software"
Parasale,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
Quivr,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Autumn Labs,"Hardware, Science and Engineering, Software"
AiFlow,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
KoalaOps,"Information Technology, Software"
DGI Apparel,"Clothing and Apparel, Commerce and Shopping, Other"
Baserun,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Viva Labs,"Content and Publishing, Information Technology, Media and Entertainment, Software, Video"
Arcane,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Hemingway,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software"
Nanograb,"Biotechnology, Health Care, Science and Engineering"
Offstream,"Information Technology, Other, Sustainability"
Overlap,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Other, Science and Engineering, Software"
DIME,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software"
Wattson Health,"Apps, Information Technology, Software"
Baseplate,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Village Labs,"Administrative Services, Financial Services, Information Technology"
Empower,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Sizeless,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Tegon,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
LaunchFlow,"Information Technology, Software"
Numo,"Financial Services, Payments"
Upfront,Energy
Wuri,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software"
PocketPod,"Information Technology, Media and Entertainment, Music and Audio"
BabylonAI,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Can of Soup,"Information Technology, Internet Services, Software"
Biocartesian,"Biotechnology, Health Care, Other, Science and Engineering"
Finbar,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Texel.ai,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Raz,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Weavel,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
TrendUp,"Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software"
Stitch Technologies,Software
VaultPay,"Financial Services, Other, Payments, Software"
Mango Health,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software"
Lifelike,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
DioxusLabs,Software
Kontractify,"Privacy and Security, Software"
Velorum Therapeutics,"Biotechnology, Science and Engineering"
CodeParrot,Software
Upstream,"Information Technology, Internet Services, Messaging and Telecommunications, Software"
Slicker,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Science and Engineering, Software"
Glimmer,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Vectorview,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
SynsoryBio,"Biotechnology, Data and Analytics, Design, Science and Engineering"
Firebender,"Artificial Intelligence (AI), Other, Sales and Marketing"
Dragoneye,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
HeyPurple,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software"
Vizly,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
Quantic,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software"
Lightski,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software"
Trench,"Financial Services, Information Technology, Payments, Privacy and Security, Software"
Forge Rewards,"Commerce and Shopping, Mobile, Other"
Cerelyze,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Merse,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software"
Trainy,"Education, Professional Services, Software"
Apoxy,"Apps, Software"
Preloop,"Artificial Intelligence (AI), Data and Analytics, Software"
Roundtable,"Data and Analytics, Information Technology, Other, Software"
Celest,"Internet Services, Software"
Casehopper,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Gloo,Information Technology
Revideo,"Internet Services, Media and Entertainment, Software, Video"
Zelos Cloud,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Fragment,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Browser Buddy,"Internet Services, Software"
Inlet,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
ProdTrace,"Data and Analytics, Hardware, Information Technology, Software"
CraftOS,"Financial Services, Other, Payments, Software"
Finex,"Apps, Financial Services, Mobile, Software"
Noya Software,"Design, Software"
Ontra Mobility,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation"
Serial,Software
Telophase,"Information Technology, Internet Services, Software"
Instaclass,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Thread,"Information Technology, Other, Software"
LinkGrep,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
ten.dev,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Line.Build,"Financial Services, Software"
Humanlike,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Professional Services, Science and Engineering, Software"
Tremor,"Data and Analytics, Manufacturing, Software"
DataShare,"Data and Analytics, Information Technology, Software"
Kips Health,"Health Care, Information Technology, Other, Software"
Mirrorful,Software
Rosettic,"Information Technology, Software"
Semantic Finance,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Teclada,"Information Technology, Software"
Pandan,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software"
Axflow,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Skygaze,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Other, Software"
RecipeUI,Software
Branch AI,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software"
Waypoint,"Community and Lifestyle, Information Technology, Internet Services"
devmark.ai,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software"
Glasskube,"Information Technology, Privacy and Security, Software"
VideoGen,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software, Video"
Pylon_1,"Information Technology, Other, Professional Services, Sales and Marketing, Software"
Feather_1,"Data and Analytics, Information Technology, Software"
Reflex,Software
FleetWorks Technology,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation"
SensorSurf,"Data and Analytics, Hardware, Science and Engineering, Software"
Suger,"Other, Software"
Trigger.dev,"Other, Software"
SuretyNow,"Financial Services, Internet Services, Other, Software"
nsave,"Financial Services, Lending and Investments"
Assembly HOA,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Real Estate, Science and Engineering, Software"
Venta,"Information Technology, Other, Sales and Marketing, Software"
Middleware,"Hardware, Information Technology, Internet Services, Software"
Meru_2,"Commerce and Shopping, Information Technology, Professional Services, Software, Transportation"
Pirros,"Real Estate, Science and Engineering"
HappyRobot,"Artificial Intelligence (AI), Data and Analytics, Hardware, Navigation and Mapping, Science and Engineering, Software"
Unthread,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Rubber Ducky Labs,"Information Technology, Software"
Cloudchipr,"Data and Analytics, Software"
PlayAI,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software"
NuMind,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Coris,"Financial Services, Payments, Professional Services, Software"
Intuned,"Data and Analytics, Information Technology, Software"
Slauth.io,"Information Technology, Privacy and Security, Software"
MovingLake,"Data and Analytics, Other, Software"
Kombo,"Administrative Services, Professional Services, Software"
TorMagnus Pharmaceuticals,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software"
Airtrain AI,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software"
Jaldi,"Commerce and Shopping, Food and Beverage"
Integration Labs,"Data and Analytics, Financial Services, Information Technology, Software"
Booth AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Fern,"Data and Analytics, Information Technology, Software"
Erad,"Financial Services, Information Technology"
Cone Software,"Other, Software"
Vizzly Technology,"Artificial Intelligence (AI), Data and Analytics, Software"
Salvy,"Hardware, Information Technology, Software"
Wmastersolutions (PVT) Ltd,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Remi,"Real Estate, Software"
Infield,"Information Technology, Internet Services, Software"
Poly,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software"
BlueHill Payments,"Financial Services, Mobile, Payments, Software"
Paces,"Energy, Hardware, Information Technology, Natural Resources, Sustainability"
Coupl,"Financial Services, Lending and Investments, Payments"
Vessel,"Data and Analytics, Information Technology, Sales and Marketing, Software"
Outset,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
Infisical,"Information Technology, Privacy and Security, Software"
Traceloop,"Artificial Intelligence (AI), Data and Analytics, Software"
Persist AI,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software"
Pump,"Financial Services, Other, Software"
Numeral,"Financial Services, Information Technology, Software"
Chariot,"Financial Services, Payments"
Truewind,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
